hour,total_count,promoters_count,detractors_count,%promoters,%detractors,NPS
2024-11-26 00:00:00,1480,1349,50,91.14864864864865,3.3783783783783785,87.77027027027027
2024-11-26 01:00:00,1510,1368,54,90.59602649006622,3.576158940397351,87.01986754966887
2024-11-26 02:00:00,1449,1301,63,89.78605935127675,4.3478260869565215,85.43823326432023
2024-11-26 03:00:00,1528,1416,43,92.67015706806284,2.81413612565445,89.85602094240838
2024-11-26 04:00:00,1586,1440,51,90.79445145018916,3.215636822194199,87.57881462799496
2024-11-26 05:00:00,1492,1353,57,90.68364611260054,3.820375335120643,86.8632707774799
2024-11-26 06:00:00,1491,1347,61,90.3420523138833,4.09121395036888,86.25083836351442
2024-11-26 07:00:00,1580,1442,58,91.26582278481013,3.670886075949367,87.59493670886076
2024-11-26 08:00:00,1483,1347,59,90.82939986513824,3.978422117329737,86.8509777478085
2024-11-26 09:00:00,1495,1371,52,91.70568561872909,3.4782608695652173,88.22742474916387
2024-11-26 10:00:00,1478,1340,48,90.66305818673884,3.247631935047361,87.41542625169147
2024-11-26 11:00:00,1527,1377,55,90.17681728880157,3.6018336607727566,86.57498362802882
2024-11-26 12:00:00,1479,1318,65,89.11426639621367,4.394861392832995,84.71940500338067
2024-11-26 13:00:00,1571,1398,75,88.98790579248886,4.774029280712922,84.21387651177594
2024-11-26 14:00:00,1579,1435,48,90.880303989867,3.0398986700443316,87.84040531982266
2024-11-26 15:00:00,1482,1359,40,91.7004048582996,2.699055330634278,89.00134952766533
2024-11-26 16:00:00,1542,1415,49,91.7639429312581,3.1776913099870296,88.58625162127107
2024-11-26 17:00:00,1527,1372,54,89.84937786509497,3.536345776031434,86.31303208906353
2024-11-26 18:00:00,1482,1325,65,89.40620782726046,4.385964912280701,85.02024291497976
2024-11-26 19:00:00,1591,1453,55,91.3262099308611,3.4569453174104336,87.86926461345067
2024-11-26 20:00:00,1565,1400,77,89.45686900958466,4.920127795527156,84.53674121405751
2024-11-26 21:00:00,1559,1408,60,90.31430404105195,3.8486209108402822,86.46568313021167
2024-11-26 22:00:00,1542,1394,61,90.40207522697796,3.955901426718547,86.44617380025942
2024-11-26 23:00:00,1517,1356,67,89.38694792353328,4.4166117336849045,84.97033618984838
