HOUR,SLOPE,INTERCEPT,R_SQUARED
0,-0.7839807435036154,89.90008065824895,0.06584251786320405
1,-0.13792969778118125,86.86883091575152,0.004416872158884644
2,-0.3697909295354586,86.44973441170151,0.03141576866962015
3,-0.41926057081710993,89.62076985486456,0.05885135390037832
4,-0.6274313393919667,89.70704125120835,0.0435311657348505
10,-0.8651722300531854,86.87870190862965,0.005161403427766387
11,0.13220366381406548,85.79196148335883,0.0003197339187309689
12,-0.15654539964720401,86.52888447241287,0.0006939891999935277
13,-0.5305791830001606,87.06268864990324,0.005767008912825888
14,-0.9041813241886092,86.62301629525605,0.018648562112042466
15,-0.31703081093396407,86.61637874737683,0.005818568263490476
16,-0.0920856412639275,86.30824747581967,0.0007962388609309423
17,-0.3758398971066689,88.09776096167754,0.010231858812075112
18,-0.10143353879991583,87.4555689836862,0.0005263659808939503
19,-0.48282213455013756,87.48261495559943,0.00810046989822677
20,-0.8356377299673936,86.29259146950096,0.008316792869565659
21,-0.1755854696014003,88.00236014690029,0.0001334445367485726
22,-1.437836808491367,88.73627237535956,0.024116117438135576
23,-0.5982414215790292,87.89223720113598,0.013835296817678477
